U (nominal) [cm/s], z [cm], U [cm/s], SD [cm/s] 
2.952631e+01, -8.856454e-03, 2.966786e+01, 1.417896e+00
2.952631e+01, -8.919679e-02, 2.967249e+01, 9.607591e-01
2.952631e+01, -1.695371e-01, 2.953264e+01, 1.063326e+00
2.952631e+01, -2.498775e-01, 2.962972e+01, 1.069897e+00
2.952631e+01, -3.302178e-01, 2.957812e+01, 9.977538e-01
2.952631e+01, -4.105581e-01, 2.954784e+01, 9.733041e-01
2.952631e+01, -4.908985e-01, 2.951037e+01, 9.457885e-01
2.952631e+01, -5.712388e-01, 2.949198e+01, 9.407859e-01
2.952631e+01, -6.515792e-01, 2.943462e+01, 9.120756e-01
2.952631e+01, -7.319195e-01, 2.936581e+01, 8.771693e-01
2.952631e+01, -8.122598e-01, 2.935800e+01, 8.578293e-01
2.952631e+01, -8.926002e-01, 2.936541e+01, 8.569673e-01
2.952631e+01, -9.729405e-01, 2.936499e+01, 8.220484e-01
2.952631e+01, -1.053281e+00, 2.936654e+01, 8.065864e-01
2.952631e+01, -1.133621e+00, 2.936322e+01, 8.135239e-01
2.952631e+01, -1.213962e+00, 2.933712e+01, 8.122443e-01
2.952631e+01, -1.294302e+00, 2.935459e+01, 8.013395e-01
2.952631e+01, -1.374642e+00, 2.936514e+01, 7.825038e-01
2.952631e+01, -1.454983e+00, 2.933295e+01, 7.692870e-01
2.952631e+01, -1.535323e+00, 2.935276e+01, 7.544193e-01
2.952631e+01, -1.615663e+00, 2.936363e+01, 7.348143e-01
2.952631e+01, -1.696004e+00, 2.934420e+01, 7.351477e-01
2.952631e+01, -1.776344e+00, 2.933052e+01, 7.061974e-01
2.952631e+01, -1.856684e+00, 2.930839e+01, 7.178085e-01
2.952631e+01, -1.937025e+00, 2.929322e+01, 7.098162e-01
2.952631e+01, -2.017365e+00, 2.926945e+01, 7.037582e-01
2.952631e+01, -2.097705e+00, 2.923962e+01, 7.041477e-01
2.952631e+01, -2.178046e+00, 2.920657e+01, 7.066896e-01
2.952631e+01, -2.258386e+00, 2.917174e+01, 7.034068e-01
2.952631e+01, -2.338726e+00, 2.916132e+01, 6.993821e-01
2.952631e+01, -2.419067e+00, 2.914860e+01, 6.884770e-01
2.952631e+01, -2.499407e+00, 2.912543e+01, 6.779151e-01
2.952631e+01, -2.579747e+00, 2.911928e+01, 6.590898e-01
2.952631e+01, -2.660088e+00, 2.911195e+01, 6.689127e-01
2.952631e+01, -2.740428e+00, 2.909296e+01, 6.652301e-01
2.952631e+01, -2.820768e+00, 2.907601e+01, 6.922731e-01
2.952631e+01, -2.901109e+00, 2.906601e+01, 6.845687e-01
2.952631e+01, -2.981449e+00, 2.905480e+01, 6.856930e-01
2.952631e+01, -3.061789e+00, 2.904446e+01, 7.062303e-01
2.952631e+01, -3.142130e+00, 2.901891e+01, 7.219430e-01
2.952631e+01, -3.222470e+00, 2.896560e+01, 7.293563e-01
2.952631e+01, -3.302810e+00, 2.891058e+01, 7.479466e-01
2.952631e+01, -3.383151e+00, 2.884453e+01, 7.648877e-01
2.952631e+01, -3.463491e+00, 2.876860e+01, 8.307710e-01
2.952631e+01, -3.543831e+00, 2.870477e+01, 9.011050e-01
2.952631e+01, -3.624172e+00, 2.862630e+01, 9.645472e-01
2.952631e+01, -3.704512e+00, 2.852142e+01, 1.069004e+00
2.952631e+01, -3.784852e+00, 2.844067e+01, 1.152249e+00
2.952631e+01, -3.865193e+00, 2.834683e+01, 1.228124e+00
2.952631e+01, -3.945533e+00, 2.820635e+01, 1.329569e+00
2.952631e+01, -4.025873e+00, 2.800280e+01, 1.485068e+00
2.952631e+01, -4.106214e+00, 2.771422e+01, 1.724244e+00
2.952631e+01, -4.186554e+00, 2.737183e+01, 1.972771e+00
2.952631e+01, -4.266894e+00, 2.697368e+01, 2.207111e+00
2.952631e+01, -4.347235e+00, 2.647625e+01, 2.430933e+00
2.952631e+01, -4.427575e+00, 2.579753e+01, 2.738177e+00
2.952631e+01, -4.507915e+00, 2.493496e+01, 3.098640e+00
2.952631e+01, -4.588256e+00, 2.396763e+01, 3.332632e+00
2.952631e+01, -4.668596e+00, 2.284267e+01, 3.499640e+00
2.952631e+01, -4.748936e+00, 2.124515e+01, 3.695537e+00
2.952631e+01, -4.829277e+00, 1.865721e+01, 3.723485e+00
2.952631e+01, -4.909617e+00, 1.568593e+01, 3.458658e+00
2.622760e+01, -8.856454e-03, 2.613414e+01, 1.407608e+00
2.622760e+01, -8.919679e-02, 2.612238e+01, 1.024815e+00
2.622760e+01, -1.695371e-01, 2.608349e+01, 1.220281e+00
2.622760e+01, -2.498775e-01, 2.622368e+01, 1.205666e+00
2.622760e+01, -3.302178e-01, 2.628542e+01, 1.123183e+00
2.622760e+01, -4.105581e-01, 2.631341e+01, 1.058065e+00
2.622760e+01, -4.908985e-01, 2.629624e+01, 1.036776e+00
2.622760e+01, -5.712388e-01, 2.627600e+01, 1.005583e+00
2.622760e+01, -6.515792e-01, 2.625906e+01, 1.009030e+00
2.622760e+01, -7.319195e-01, 2.626275e+01, 9.817992e-01
2.622760e+01, -8.122598e-01, 2.624699e+01, 9.580519e-01
2.622760e+01, -8.926002e-01, 2.625116e+01, 9.066397e-01
2.622760e+01, -9.729405e-01, 2.623769e+01, 9.049467e-01
2.622760e+01, -1.053281e+00, 2.620206e+01, 8.853203e-01
2.622760e+01, -1.133621e+00, 2.618988e+01, 8.879349e-01
2.622760e+01, -1.213962e+00, 2.617191e+01, 8.630095e-01
2.622760e+01, -1.294302e+00, 2.616488e+01, 8.400314e-01
2.622760e+01, -1.374642e+00, 2.615250e+01, 8.325760e-01
2.622760e+01, -1.454983e+00, 2.616148e+01, 8.448287e-01
2.622760e+01, -1.535323e+00, 2.614950e+01, 8.038436e-01
2.622760e+01, -1.615663e+00, 2.612902e+01, 8.004385e-01
2.622760e+01, -1.696004e+00, 2.611971e+01, 7.858129e-01
2.622760e+01, -1.776344e+00, 2.612098e+01, 7.719174e-01
2.622760e+01, -1.856684e+00, 2.613520e+01, 7.848121e-01
2.622760e+01, -1.937025e+00, 2.612538e+01, 7.486635e-01
2.622760e+01, -2.017365e+00, 2.611218e+01, 7.233880e-01
2.622760e+01, -2.097705e+00, 2.610145e+01, 7.278093e-01
2.622760e+01, -2.178046e+00, 2.610198e+01, 7.314091e-01
2.622760e+01, -2.258386e+00, 2.610157e+01, 7.050963e-01
2.622760e+01, -2.338726e+00, 2.607131e+01, 7.055901e-01
2.622760e+01, -2.419067e+00, 2.603025e+01, 6.994933e-01
2.622760e+01, -2.499407e+00, 2.600771e+01, 6.916200e-01
2.622760e+01, -2.579747e+00, 2.599725e+01, 6.662145e-01
2.622760e+01, -2.660088e+00, 2.597372e+01, 6.607713e-01
2.622760e+01, -2.740428e+00, 2.598609e+01, 6.536917e-01
2.622760e+01, -2.820768e+00, 2.598441e+01, 6.648963e-01
2.622760e+01, -2.901109e+00, 2.595852e+01, 6.780100e-01
2.622760e+01, -2.981449e+00, 2.594616e+01, 6.734029e-01
2.622760e+01, -3.061789e+00, 2.591362e+01, 6.769151e-01
2.622760e+01, -3.142130e+00, 2.588402e+01, 6.913466e-01
2.622760e+01, -3.222470e+00, 2.584076e+01, 7.264057e-01
2.622760e+01, -3.302810e+00, 2.578262e+01, 7.419434e-01
2.622760e+01, -3.383151e+00, 2.575971e+01, 7.328984e-01
2.622760e+01, -3.463491e+00, 2.573181e+01, 7.748605e-01
2.622760e+01, -3.543831e+00, 2.568444e+01, 8.035976e-01
2.622760e+01, -3.624172e+00, 2.564606e+01, 8.285654e-01
2.622760e+01, -3.704512e+00, 2.560044e+01, 8.791081e-01
2.622760e+01, -3.784852e+00, 2.553846e+01, 9.351676e-01
2.622760e+01, -3.865193e+00, 2.544402e+01, 1.025627e+00
2.622760e+01, -3.945533e+00, 2.529271e+01, 1.156522e+00
2.622760e+01, -4.025873e+00, 2.507068e+01, 1.335568e+00
2.622760e+01, -4.106214e+00, 2.480251e+01, 1.550414e+00
2.622760e+01, -4.186554e+00, 2.443853e+01, 1.858667e+00
2.622760e+01, -4.266894e+00, 2.401832e+01, 2.103467e+00
2.622760e+01, -4.347235e+00, 2.354157e+01, 2.323206e+00
2.622760e+01, -4.427575e+00, 2.297295e+01, 2.587778e+00
2.622760e+01, -4.507915e+00, 2.230411e+01, 2.894440e+00
2.622760e+01, -4.588256e+00, 2.134992e+01, 3.159327e+00
2.622760e+01, -4.668596e+00, 1.987991e+01, 3.379477e+00
2.622760e+01, -4.748936e+00, 1.762945e+01, 3.579404e+00
2.622760e+01, -4.829277e+00, 1.463902e+01, 3.340187e+00
2.622760e+01, -4.909617e+00, 1.267682e+01, 3.080752e+00
2.367363e+01, -8.856454e-03, 2.392411e+01, 8.251216e-01
2.367363e+01, -8.919679e-02, 2.345726e+01, 9.621219e-01
