Material, D [mm], U [cm/s], Direction, H [mm], Mean Force [mN], Fluctuations [mN] 
Acrylic, 12.7, 26.22, Descending, -7.250000e+00, -2.735237e-02, 2.874985e-01 
Acrylic, 12.7, 26.22, Descending, -07, -6.530164e-02, 3.196095e-01 
Acrylic, 12.7, 26.22, Descending, -6.750000e+00, -3.085835e-02, 2.426023e-01 
Acrylic, 12.7, 26.22, Descending, -6.500000e+00, -2.514657e-02, 3.046919e-01 
Acrylic, 12.7, 26.22, Descending, -6.250000e+00, -3.399861e-02, 2.382242e-01 
Acrylic, 12.7, 26.22, Descending, -06, -3.246767e-02, 1.980526e-01 
Acrylic, 12.7, 26.22, Descending, -5.750000e+00, -1.940692e-02, 1.599558e-01 
Acrylic, 12.7, 26.22, Descending, -5.500000e+00, -1.907297e-02, 1.714452e-01 
Acrylic, 12.7, 26.22, Descending, -5.250000e+00, -2.206209e-02, 1.964110e-01 
Acrylic, 12.7, 26.22, Descending, -05, -2.502189e-02, 1.972600e-01 
Acrylic, 12.7, 26.22, Descending, -4.750000e+00, -2.379418e-02, 1.451764e-01 
Acrylic, 12.7, 26.22, Descending, -4.500000e+00, -2.503047e-02, 2.136416e-01 
Acrylic, 12.7, 26.22, Descending, -4.250000e+00, -3.080942e-02, 2.322582e-01 
Acrylic, 12.7, 26.22, Descending, -04, -2.260141e-02, 1.815641e-01 
Acrylic, 12.7, 26.22, Descending, -3.750000e+00, -3.079991e-02, 2.123611e-01 
Acrylic, 12.7, 26.22, Descending, -3.500000e+00, -1.993564e-02, 2.269973e-01 
Acrylic, 12.7, 26.22, Descending, -3.250000e+00, -2.653953e-02, 2.324625e-01 
Acrylic, 12.7, 26.22, Descending, -03, -4.774061e-02, 2.243885e-01 
Acrylic, 12.7, 26.22, Descending, -2.750000e+00, -3.058252e-02, 3.424509e-01 
Acrylic, 12.7, 26.22, Descending, -2.500000e+00, -2.782785e-02, 3.347997e-01 
Acrylic, 12.7, 26.22, Descending, -2.250000e+00, -2.369700e-02, 1.742647e-01 
Acrylic, 12.7, 26.22, Descending, -02, -2.621223e-02, 1.863661e-01 
Acrylic, 12.7, 26.22, Descending, -1.750000e+00, -1.770715e-02, 1.923681e-01 
Acrylic, 12.7, 26.22, Descending, -1.500000e+00, -4.468618e-03, 1.755077e-01 
Acrylic, 12.7, 26.22, Descending, -1.250000e+00, 8.726206e-03, 1.984057e-01 
Acrylic, 12.7, 26.22, Descending, -01, 3.797621e-03, 1.966302e-01 
Acrylic, 12.7, 26.22, Descending, -7.500000e-01, -2.142418e-03, 2.363783e-01 
Acrylic, 12.7, 26.22, Descending, -5.000000e-01, -1.038141e-02, 2.667490e-01 
Acrylic, 12.7, 26.22, Descending, -2.500000e-01, 6.099696e-04, 2.487887e-01 
Acrylic, 12.7, 26.22, Descending, 000, 2.368954e-01, 2.523969e-01 
Acrylic, 12.7, 26.22, Descending, 2.500000e-01, 2.529413e-01, 1.879228e-01 
Acrylic, 12.7, 26.22, Descending, 5.000000e-01, 2.520049e-01, 1.571325e-01 
Acrylic, 12.7, 26.22, Descending, 7.500000e-01, 2.772248e-01, 1.620658e-01 
Acrylic, 12.7, 26.22, Descending, 001, 3.031991e-01, 1.342084e-01 
Acrylic, 12.7, 26.22, Descending, 1.250000e+00, 3.182461e-01, 1.340280e-01 
Acrylic, 12.7, 26.22, Descending, 1.500000e+00, 3.421519e-01, 1.478286e-01 
Acrylic, 12.7, 26.22, Descending, 1.750000e+00, 3.523994e-01, 1.379112e-01 
Acrylic, 12.7, 26.22, Descending, 002, 3.893322e-01, 1.433420e-01 
Acrylic, 12.7, 26.22, Descending, 2.250000e+00, 4.154052e-01, 1.569486e-01 
Acrylic, 12.7, 26.22, Descending, 2.500000e+00, 4.508455e-01, 1.598298e-01 
Acrylic, 12.7, 26.22, Descending, 2.750000e+00, 4.777466e-01, 1.794561e-01 
Acrylic, 12.7, 26.22, Descending, 003, 5.037438e-01, 1.573609e-01 
Acrylic, 12.7, 26.22, Descending, 3.250000e+00, 5.593392e-01, 1.611763e-01 
Acrylic, 12.7, 26.22, Descending, 3.500000e+00, 5.645199e-01, 1.423598e-01 
Acrylic, 12.7, 26.22, Descending, 3.750000e+00, 6.340960e-01, 1.722086e-01 
Acrylic, 12.7, 26.22, Descending, 004, 7.051449e-01, 1.904747e-01 
Acrylic, 12.7, 26.22, Descending, 4.250000e+00, 7.581757e-01, 1.932554e-01 
Acrylic, 12.7, 26.22, Descending, 4.500000e+00, 7.453460e-01, 1.825118e-01 
