Material, D [mm], U [cm/s], h [mm], Delta h [mm], F_{H} [mN] 
Acrylic, 12.7, 26.22, 1.199975e+00, -1.107122e+00, -- 
Acrylic, 12.7, 26.22, 1.517840e+00, -6.134016e-01, -- 
Acrylic, 12.7, 26.22, 1.737972e+00, -1.096190e+00, -- 
Acrylic, 12.7, 26.22, 2.034403e+00, -8.647098e-01, -- 
Acrylic, 12.7, 26.22, 2.223733e+00, -8.731113e-01, -- 
Acrylic, 12.7, 26.22, 2.513742e+00, -3.168706e-01, -- 
Acrylic, 12.7, 26.22, 2.735141e+00, 1.540729e-02, -- 
Acrylic, 12.7, 26.22, 3.023251e+00, 4.090940e-01, -- 
Acrylic, 12.7, 26.22, 3.279044e+00, 3.756953e-01, -- 
Acrylic, 12.7, 26.22, 3.510951e+00, 1.163664e+00, -- 
Acrylic, 12.7, 26.22, 3.712229e+00, 1.346714e+00, -- 
Acrylic, 12.7, 26.22, 4.060198e+00, 9.793277e-01, -- 
Acrylic, 12.7, 26.22, 4.244889e+00, 1.666083e+00, -- 
Acrylic, 12.7, 26.22, 4.588629e+00, 1.357574e+00, -- 
Acrylic, 12.7, 26.22, 4.799803e+00, 1.148749e+00, -- 
Acrylic, 12.7, 26.22, 5.028357e+00, 1.911261e+00, -- 
Acrylic, 12.7, 26.22, 5.306775e+00, 1.598358e+00, -- 
Acrylic, 12.7, 26.22, 5.456481e+00, 1.692288e+00, -- 
Acrylic, 12.7, 26.22, 5.706510e+00, 2.392062e+00, -- 
Acrylic, 12.7, 26.22, 5.976387e+00, 1.834866e+00, -- 
Acrylic, 12.7, 26.22, 6.281374e+00, 1.715919e+00, -- 
Acrylic, 12.7, 26.22, 6.517539e+00, 1.801219e+00, -- 
Acrylic, 12.7, 26.22, 6.744698e+00, 1.991811e+00, -- 
Acrylic, 12.7, 26.22, 7.021759e+00, 1.929999e+00, -- 
Acrylic, 12.7, 26.22, 7.268501e+00, 1.751509e+00, -- 
Acrylic, 12.7, 26.22, 7.473894e+00, 2.010243e+00, -- 
Acrylic, 12.7, 26.22, 7.688114e+00, 2.070697e+00, -- 
Acrylic, 12.7, 26.22, 8.030109e+00, 2.071778e+00, -- 
Acrylic, 12.7, 26.22, 8.269784e+00, 1.813202e+00, -- 
Acrylic, 12.7, 26.22, 8.534463e+00, 1.985564e+00, -- 
Acrylic, 12.7, 26.22, 8.822416e+00, 1.968849e+00, -- 
Acrylic, 12.7, 26.22, 9.034632e+00, 2.398171e+00, -- 
Acrylic, 12.7, 26.22, 9.316057e+00, 2.002256e+00, -- 
Acrylic, 12.7, 26.22, 9.519012e+00, 2.288138e+00, -- 
Acrylic, 12.7, 26.22, 9.761892e+00, 2.209026e+00, -- 
Acrylic, 12.7, 26.22, 9.994162e+00, 2.375010e+00, -- 
Acrylic, 12.7, 26.22, 1.021286e+01, 2.464049e+00, -- 
Acrylic, 12.7, 26.22, 1.050918e+01, 2.623498e+00, -- 
Acrylic, 12.7, 26.22, 1.062263e+01, 2.424258e+00, -- 
