Material, D [mm], U [cm/s], Direction, H [mm], Mean Force [mN], Error [mN] 
Acrylic, 7.937500e+00, 26.22, Descending, 000, 1.053648e-01, 1.500826e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.500000e-01, 1.958867e-01, 1.474040e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 5.000000e-01, 2.211094e-01, 1.472239e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 7.500000e-01, 2.246750e-01, 1.472758e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 001, 2.263191e-01, 1.472216e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.250000e+00, 2.263571e-01, 1.472551e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.500000e+00, 2.340720e-01, 1.473351e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.750000e+00, 2.475732e-01, 1.472328e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 002, 2.535698e-01, 1.473678e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.250000e+00, 2.815927e-01, 1.474115e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.500000e+00, 2.984645e-01, 1.474000e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.750000e+00, 3.360029e-01, 1.474666e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 003, 3.729091e-01, 1.472930e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 3.250000e+00, 4.103968e-01, 1.474031e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 3.500000e+00, 4.469342e-01, 1.473939e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 3.750000e+00, 5.048440e-01, 1.473036e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 004, 5.623628e-01, 1.473310e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 4.250000e+00, 6.193262e-01, 1.473295e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 4.500000e+00, 7.075967e-01, 1.473412e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 4.750000e+00, 7.802962e-01, 1.473828e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 005, 8.831554e-01, 1.474573e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 5.250000e+00, 9.318857e-01, 1.479901e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 5.500000e+00, 1.042629e+00, 1.476079e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 5.750000e+00, 1.103679e+00, 1.480274e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 006, 1.191470e+00, 1.477754e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 6.250000e+00, 1.292085e+00, 1.485097e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 6.500000e+00, 1.374807e+00, 1.487435e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 6.750000e+00, 1.458918e+00, 1.492192e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 007, 1.536534e+00, 1.492189e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 7.250000e+00, 1.644789e+00, 1.484729e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 7.500000e+00, 1.753369e+00, 1.490752e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 7.750000e+00, 1.849145e+00, 1.485460e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 008, 1.960472e+00, 1.488009e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 8.250000e+00, 2.060317e+00, 1.489249e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 8.500000e+00, 2.120893e+00, 1.507395e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 8.750000e+00, 2.150290e+00, 1.494812e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 009, 2.060932e+00, 1.636043e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 9.250000e+00, 1.430623e+00, 1.493959e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 9.500000e+00, 1.274537e+00, 1.480467e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 9.750000e+00, 1.238409e+00, 1.481210e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 010, 1.201173e+00, 1.481385e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.025000e+01, 1.140675e+00, 1.480121e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.050000e+01, 1.117960e+00, 1.478399e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.075000e+01, 1.084981e+00, 1.481917e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 011, 1.069405e+00, 1.484044e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.125000e+01, 1.052530e+00, 1.477778e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.150000e+01, 1.016786e+00, 1.482650e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.175000e+01, 1.006041e+00, 1.480967e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 012, 9.800692e-01, 1.479717e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.225000e+01, 9.518405e-01, 1.480345e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.250000e+01, 9.370194e-01, 1.479049e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.275000e+01, 9.288837e-01, 1.481072e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 013, 9.223489e-01, 1.475219e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.325000e+01, 9.076078e-01, 1.476338e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.350000e+01, 8.983343e-01, 1.479537e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.375000e+01, 8.949978e-01, 1.477050e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 014, 8.918967e-01, 1.478345e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.425000e+01, 8.750107e-01, 1.485433e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.450000e+01, 8.711521e-01, 1.483114e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.475000e+01, 8.717410e-01, 1.482365e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 015, 8.638629e-01, 1.483746e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.525000e+01, 8.541418e-01, 1.485856e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.550000e+01, 8.511642e-01, 1.483719e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.575000e+01, 8.573766e-01, 1.485313e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 016, 8.560297e-01, 1.483683e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.625000e+01, 8.563362e-01, 1.483384e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.650000e+01, 8.596142e-01, 1.479758e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.675000e+01, 8.500112e-01, 1.484386e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 017, 8.502699e-01, 1.484686e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.725000e+01, 8.495744e-01, 1.485939e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.750000e+01, 8.512561e-01, 1.480014e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.775000e+01, 8.417581e-01, 1.491014e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 018, 8.432582e-01, 1.481237e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.825000e+01, 8.366231e-01, 1.488211e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.850000e+01, 8.360693e-01, 1.486774e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.875000e+01, 8.289021e-01, 1.481408e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 019, 8.213972e-01, 1.482457e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.925000e+01, 8.217554e-01, 1.480292e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.950000e+01, 8.142750e-01, 1.483371e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 1.975000e+01, 8.045099e-01, 1.481400e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 020, 8.035334e-01, 1.486423e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.025000e+01, 8.166319e-01, 1.476775e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.050000e+01, 8.078150e-01, 1.483241e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.075000e+01, 8.061116e-01, 1.488700e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 021, 8.060309e-01, 1.480031e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.125000e+01, 8.028756e-01, 1.483792e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.150000e+01, 8.051005e-01, 1.486403e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.175000e+01, 7.883654e-01, 1.481989e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 022, 7.946285e-01, 1.487095e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.225000e+01, 8.006752e-01, 1.486325e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.250000e+01, 7.846998e-01, 1.481751e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.275000e+01, 7.856970e-01, 1.478422e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 023, 7.783297e-01, 1.479925e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.325000e+01, 7.668545e-01, 1.481953e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.350000e+01, 7.674994e-01, 1.482378e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.375000e+01, 7.569077e-01, 1.483643e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 024, 7.604225e-01, 1.483636e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.425000e+01, 7.443538e-01, 1.483509e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.450000e+01, 7.466156e-01, 1.480479e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.475000e+01, 7.507320e-01, 1.482370e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 025, 7.469063e-01, 1.486343e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.525000e+01, 7.422542e-01, 1.482307e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.550000e+01, 7.377786e-01, 1.492609e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.575000e+01, 7.354422e-01, 1.481449e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 026, 7.312544e-01, 1.488539e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.625000e+01, 7.409501e-01, 1.484212e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.650000e+01, 7.382761e-01, 1.481218e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.675000e+01, 7.395440e-01, 1.482030e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 027, 7.465086e-01, 1.482059e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.725000e+01, 7.381834e-01, 1.487771e-01 
Acrylic, 7.937500e+00, 26.22, Descending, 2.750000e+01, 7.275339e-01, 1.476987e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 000, 3.381216e-01, 1.497411e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.500000e-01, 3.482950e-01, 1.502512e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 5.000000e-01, 3.576708e-01, 1.502578e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 7.500000e-01, 3.628213e-01, 1.498278e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 001, 3.752645e-01, 1.494282e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.250000e+00, 3.787241e-01, 1.490939e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.500000e+00, 3.809471e-01, 1.495131e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 1.750000e+00, 3.817493e-01, 1.491273e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 002, 3.848543e-01, 1.490653e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.250000e+00, 3.822777e-01, 1.493425e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.500000e+00, 3.912990e-01, 1.490281e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 2.750000e+00, 4.027333e-01, 1.492739e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 003, 4.249946e-01, 1.494476e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 3.250000e+00, 4.532996e-01, 1.497668e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 3.500000e+00, 4.872949e-01, 1.495074e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 3.750000e+00, 5.365571e-01, 1.502071e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 004, 5.901051e-01, 1.508527e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 4.250000e+00, 6.760598e-01, 1.507905e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 4.500000e+00, 7.471897e-01, 1.521876e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 4.750000e+00, 8.159064e-01, 1.519969e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 005, 8.998286e-01, 1.513192e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 5.250000e+00, 9.673773e-01, 1.529954e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 5.500000e+00, 1.056872e+00, 1.527421e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 5.750000e+00, 1.132627e+00, 1.542915e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 006, 1.218901e+00, 1.516763e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 6.250000e+00, 1.285449e+00, 1.540839e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 6.500000e+00, 1.394166e+00, 1.537250e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 6.750000e+00, 1.449796e+00, 1.522903e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 007, 1.557537e+00, 1.538674e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 7.250000e+00, 1.599078e+00, 1.519521e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 7.500000e+00, 1.624016e+00, 1.515891e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 7.750000e+00, 1.642047e+00, 1.510106e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 008, 1.643429e+00, 1.499226e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 8.250000e+00, 1.641062e+00, 1.505597e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 8.500000e+00, 1.641077e+00, 1.515459e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 8.750000e+00, 1.569317e+00, 1.505044e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 009, 1.490815e+00, 1.502805e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 9.250000e+00, 1.411114e+00, 1.504314e-01 
Acrylic, 7.937500e+00, 26.22, Ascending, 9.500000e+00, 1.358763e+00, 1.503179e-01 
