Mode, Direction, D [mm], U [cm/s], h/d, Cd, Delta h [mm]
Experiment, Descending, 12.7, 26.22, 000, 3.758940e-02, --
Experiment, Descending, 12.7, 26.22, 1.968504e-02, 5.212391e-02, --
Experiment, Descending, 12.7, 26.22, 3.937008e-02, 5.428945e-02, --
Experiment, Descending, 12.7, 26.22, 5.905512e-02, 5.936208e-02, --
Experiment, Descending, 12.7, 26.22, 7.874016e-02, 6.283453e-02, --
Experiment, Descending, 12.7, 26.22, 9.842520e-02, 6.485317e-02, --
Experiment, Descending, 12.7, 26.22, 1.181102e-01, 6.889492e-02, --
Experiment, Descending, 12.7, 26.22, 1.377953e-01, 7.356565e-02, --
Experiment, Descending, 12.7, 26.22, 1.574803e-01, 7.724183e-02, --
Experiment, Descending, 12.7, 26.22, 1.771654e-01, 8.603245e-02, --
Experiment, Descending, 12.7, 26.22, 1.968504e-01, 9.216237e-02, --
Experiment, Descending, 12.7, 26.22, 2.165354e-01, 9.813212e-02, --
Experiment, Descending, 12.7, 26.22, 2.362205e-01, 1.077266e-01, --
Experiment, Descending, 12.7, 26.22, 2.559055e-01, 1.183569e-01, --
Experiment, Descending, 12.7, 26.22, 2.755906e-01, 1.261426e-01, --
Experiment, Descending, 12.7, 26.22, 2.952756e-01, 1.357459e-01, --
Experiment, Descending, 12.7, 26.22, 3.149606e-01, 1.520131e-01, --
Experiment, Descending, 12.7, 26.22, 3.346457e-01, 1.620255e-01, --
Experiment, Descending, 12.7, 26.22, 3.543307e-01, 1.782200e-01, --
Experiment, Descending, 12.7, 26.22, 3.740157e-01, 1.917181e-01, --
Experiment, Descending, 12.7, 26.22, 3.937008e-01, 2.065337e-01, --
Experiment, Descending, 12.7, 26.22, 4.133858e-01, 2.270730e-01, --
Experiment, Descending, 12.7, 26.22, 4.330709e-01, 2.456470e-01, --
Experiment, Descending, 12.7, 26.22, 4.527559e-01, 2.644572e-01, --
Experiment, Descending, 12.7, 26.22, 4.724409e-01, 2.850223e-01, --
Experiment, Descending, 12.7, 26.22, 4.921260e-01, 3.108676e-01, --
Experiment, Descending, 12.7, 26.22, 5.118110e-01, 3.313188e-01, --
Experiment, Descending, 12.7, 26.22, 5.314961e-01, 3.559597e-01, --
Experiment, Descending, 12.7, 26.22, 5.511811e-01, 3.779574e-01, --
Experiment, Descending, 12.7, 26.22, 5.708661e-01, 4.053871e-01, --
Experiment, Descending, 12.7, 26.22, 5.905512e-01, 4.258891e-01, --
Experiment, Descending, 12.7, 26.22, 6.102362e-01, 4.508770e-01, --
Experiment, Descending, 12.7, 26.22, 6.299213e-01, 4.747767e-01, --
Experiment, Descending, 12.7, 26.22, 6.496063e-01, 5.041175e-01, --
Experiment, Descending, 12.7, 26.22, 6.692913e-01, 5.286589e-01, --
Experiment, Descending, 12.7, 26.22, 6.889764e-01, 5.489107e-01, --
Experiment, Descending, 12.7, 26.22, 7.086614e-01, 5.814471e-01, --
Experiment, Descending, 12.7, 26.22, 7.283465e-01, 6.076080e-01, --
Experiment, Descending, 12.7, 26.22, 7.480315e-01, 6.397021e-01, --
Experiment, Descending, 12.7, 26.22, 7.677165e-01, 6.684869e-01, --
Experiment, Descending, 12.7, 26.22, 7.874016e-01, 6.953030e-01, --
Experiment, Descending, 12.7, 26.22, 8.070866e-01, 7.188544e-01, --
Experiment, Descending, 12.7, 26.22, 8.267717e-01, 7.618798e-01, --
Experiment, Descending, 12.7, 26.22, 8.464567e-01, 8.006512e-01, --
Experiment, Descending, 12.7, 26.22, 8.661417e-01, 8.273064e-01, --
Experiment, Descending, 12.7, 26.22, 8.858268e-01, 8.573125e-01, --
Experiment, Descending, 12.7, 26.22, 9.055118e-01, 9.020078e-01, --
Experiment, Descending, 12.7, 26.22, 9.251969e-01, 9.484645e-01, --
Experiment, Descending, 12.7, 26.22, 9.448819e-01, 9.857635e-01, --
Experiment, Descending, 12.7, 26.22, 9.645669e-01, 1.020017e+00, --
Experiment, Descending, 12.7, 26.22, 9.842520e-01, 1.064744e+00, --
Experiment, Descending, 12.7, 26.22, 1.003937e+00, 1.120971e+00, --
Experiment, Descending, 12.7, 26.22, 1.023622e+00, 1.136566e+00, --
Experiment, Descending, 12.7, 26.22, 1.043307e+00, 1.155610e+00, --
Experiment, Descending, 12.7, 26.22, 1.062992e+00, 1.145322e+00, --
Experiment, Descending, 12.7, 26.22, 1.082677e+00, 1.034615e+00, --
Experiment, Descending, 12.7, 26.22, 1.102362e+00, 8.040706e-01, --
Experiment, Descending, 12.7, 26.22, 1.122047e+00, 7.697402e-01, --
Experiment, Descending, 12.7, 26.22, 1.141732e+00, 7.588632e-01, --
Experiment, Descending, 12.7, 26.22, 1.161417e+00, 7.445386e-01, --
Experiment, Descending, 12.7, 26.22, 1.181102e+00, 7.346150e-01, --
Experiment, Descending, 12.7, 26.22, 1.200787e+00, 7.241472e-01, --
Experiment, Descending, 12.7, 26.22, 1.220472e+00, 7.099581e-01, --
Experiment, Descending, 12.7, 26.22, 1.240157e+00, 6.827267e-01, --
Experiment, Descending, 12.7, 26.22, 1.259843e+00, 6.564014e-01, --
Experiment, Descending, 12.7, 26.22, 1.279528e+00, 6.375632e-01, --
Experiment, Descending, 12.7, 26.22, 1.299213e+00, 6.263570e-01, --
Experiment, Descending, 12.7, 26.22, 1.318898e+00, 6.149502e-01, --
Experiment, Descending, 12.7, 26.22, 1.338583e+00, 6.049366e-01, --
Experiment, Descending, 12.7, 26.22, 1.358268e+00, 5.816765e-01, --
Experiment, Descending, 12.7, 26.22, 1.377953e+00, 5.675757e-01, --
Experiment, Descending, 12.7, 26.22, 1.397638e+00, 5.679803e-01, --
Experiment, Descending, 12.7, 26.22, 1.417323e+00, 5.631200e-01, --
Experiment, Descending, 12.7, 26.22, 1.437008e+00, 5.549881e-01, --
Experiment, Descending, 12.7, 26.22, 1.456693e+00, 5.494619e-01, --
Experiment, Descending, 12.7, 26.22, 1.476378e+00, 5.502317e-01, --
Experiment, Descending, 12.7, 26.22, 1.496063e+00, 5.413483e-01, --
Experiment, Descending, 12.7, 26.22, 1.515748e+00, 5.366356e-01, --
Experiment, Descending, 12.7, 26.22, 1.535433e+00, 5.360823e-01, --
Experiment, Descending, 12.7, 26.22, 1.555118e+00, 5.273621e-01, --
Experiment, Descending, 12.7, 26.22, 1.574803e+00, 5.220475e-01, --
Experiment, Descending, 12.7, 26.22, 1.594488e+00, 5.138950e-01, --
Experiment, Descending, 12.7, 26.22, 1.614173e+00, 5.090347e-01, --
Experiment, Descending, 12.7, 26.22, 1.633858e+00, 5.127778e-01, --
Experiment, Descending, 12.7, 26.22, 1.653543e+00, 5.030183e-01, --
Experiment, Descending, 12.7, 26.22, 1.673228e+00, 4.935423e-01, --
Experiment, Descending, 12.7, 26.22, 1.692913e+00, 4.898514e-01, --
Experiment, Descending, 12.7, 26.22, 1.712598e+00, 4.897454e-01, --
Experiment, Descending, 12.7, 26.22, 1.732283e+00, 4.896490e-01, --
Experiment, Descending, 12.7, 26.22, 1.751969e+00, 4.906658e-01, --
Experiment, Descending, 12.7, 26.22, 1.771654e+00, 4.855289e-01, --
Experiment, Descending, 12.7, 26.22, 1.791339e+00, 4.820639e-01, --
Experiment, Descending, 12.7, 26.22, 1.811024e+00, 4.815809e-01, --
Experiment, Descending, 12.7, 26.22, 1.830709e+00, 4.776850e-01, --
Experiment, Descending, 12.7, 26.22, 1.850394e+00, 4.699188e-01, --
Experiment, Descending, 12.7, 26.22, 1.870079e+00, 4.700357e-01, --
Experiment, Descending, 12.7, 26.22, 1.889764e+00, 4.694415e-01, --
Experiment, Descending, 12.7, 26.22, 1.909449e+00, 4.714623e-01, --
Experiment, Descending, 12.7, 26.22, 1.929134e+00, 4.658110e-01, --
Experiment, Descending, 12.7, 26.22, 1.948819e+00, 4.631076e-01, --
Experiment, Descending, 12.7, 26.22, 1.968504e+00, 4.578162e-01, --
Experiment, Descending, 12.7, 26.22, 1.988189e+00, 4.570850e-01, --
Experiment, Descending, 12.7, 26.22, 2.007874e+00, 4.541868e-01, --
Experiment, Descending, 12.7, 26.22, 2.027559e+00, 4.513987e-01, --
Experiment, Descending, 12.7, 26.22, 2.047244e+00, 4.464194e-01, --
Experiment, Descending, 12.7, 26.22, 2.066929e+00, 4.426390e-01, --
Experiment, Descending, 12.7, 26.22, 2.086614e+00, 4.415288e-01, --
Experiment, Descending, 12.7, 26.22, 2.106299e+00, 4.419276e-01, --
Experiment, Descending, 12.7, 26.22, 2.125984e+00, 4.338253e-01, --
Experiment, Descending, 12.7, 26.22, 2.145669e+00, 4.335544e-01, --
Experiment, Descending, 12.7, 26.22, 2.165354e+00, 4.326486e-01, --
Experiment, Ascending, 12.7, 26.22, 000, 8.498167e-02, --
Experiment, Ascending, 12.7, 26.22, 1.968504e-02, 8.265226e-02, --
Experiment, Ascending, 12.7, 26.22, 3.937008e-02, 8.481385e-02, --
Experiment, Ascending, 12.7, 26.22, 5.905512e-02, 8.826869e-02, --
Experiment, Ascending, 12.7, 26.22, 7.874016e-02, 8.616301e-02, --
Experiment, Ascending, 12.7, 26.22, 9.842520e-02, 9.094488e-02, --
Experiment, Ascending, 12.7, 26.22, 1.181102e-01, 9.022281e-02, --
Experiment, Ascending, 12.7, 26.22, 1.377953e-01, 9.507403e-02, --
Experiment, Ascending, 12.7, 26.22, 1.574803e-01, 9.679474e-02, --
Experiment, Ascending, 12.7, 26.22, 1.771654e-01, 9.794695e-02, --
Experiment, Ascending, 12.7, 26.22, 1.968504e-01, 1.101932e-01, --
Experiment, Ascending, 12.7, 26.22, 2.165354e-01, 1.122772e-01, --
Experiment, Ascending, 12.7, 26.22, 2.362205e-01, 1.194168e-01, --
Experiment, Ascending, 12.7, 26.22, 2.559055e-01, 1.253808e-01, --
Experiment, Ascending, 12.7, 26.22, 2.755906e-01, 1.378893e-01, --
Experiment, Ascending, 12.7, 26.22, 2.952756e-01, 1.383249e-01, --
Experiment, Ascending, 12.7, 26.22, 3.149606e-01, 1.443526e-01, --
Experiment, Ascending, 12.7, 26.22, 3.346457e-01, 1.507783e-01, --
Experiment, Ascending, 12.7, 26.22, 3.543307e-01, 1.652115e-01, --
Experiment, Ascending, 12.7, 26.22, 3.740157e-01, 1.648647e-01, --
Experiment, Ascending, 12.7, 26.22, 3.937008e-01, 1.755647e-01, --
Experiment, Ascending, 12.7, 26.22, 4.133858e-01, 1.862316e-01, --
Experiment, Ascending, 12.7, 26.22, 4.330709e-01, 2.107675e-01, --
Experiment, Ascending, 12.7, 26.22, 4.527559e-01, 2.304081e-01, --
Experiment, Ascending, 12.7, 26.22, 4.724409e-01, 2.501004e-01, --
Experiment, Ascending, 12.7, 26.22, 4.921260e-01, 2.697380e-01, --
Experiment, Ascending, 12.7, 26.22, 5.118110e-01, 2.918917e-01, --
Experiment, Ascending, 12.7, 26.22, 5.314961e-01, 3.134918e-01, --
Experiment, Ascending, 12.7, 26.22, 5.511811e-01, 3.369284e-01, --
Experiment, Ascending, 12.7, 26.22, 5.708661e-01, 3.615937e-01, --
Experiment, Ascending, 12.7, 26.22, 5.905512e-01, 3.847832e-01, --
Experiment, Ascending, 12.7, 26.22, 6.102362e-01, 4.095048e-01, --
Experiment, Ascending, 12.7, 26.22, 6.299213e-01, 4.371866e-01, --
Experiment, Ascending, 12.7, 26.22, 6.496063e-01, 4.649288e-01, --
