D [mm], U [cm/s], gamma [mN/m], h/d, Cd
12.7, 26.22, 000, 2.500000e-01, 1.906570e-01
12.7, 26.22, 000, 5.000000e-01, 4.922800e-01
12.7, 26.22, 000, 6.250000e-01, 6.760710e-01
12.7, 26.22, 000, 7.500000e-01, 8.792520e-01
12.7, 26.22, 000, 8.750000e-01, 8.367190e-01
12.7, 26.22, 000, 000001, 6.015880e-01
12.7, 26.22, 000, 1.125000e+00, 5.013350e-01
12.7, 26.22, 000, 1.250000e+00, 4.432160e-01
12.7, 26.22, 000, 1.500000e+00, 3.949950e-01
12.7, 26.22, 000, 2.500000e+00, 3.607110e-01
12.7, 26.22, 3.610000e+01, 2.500000e-01, 1.713920e-01
12.7, 26.22, 3.610000e+01, 5.000000e-01, 3.881200e-01
12.7, 26.22, 3.610000e+01, 6.250000e-01, 5.872760e-01
12.7, 26.22, 3.610000e+01, 7.500000e-01, 7.344100e-01
12.7, 26.22, 3.610000e+01, 8.750000e-01, 8.845600e-01
12.7, 26.22, 3.610000e+01, 000001, 7.835140e-01
12.7, 26.22, 3.610000e+01, 1.125000e+00, 5.672090e-01
12.7, 26.22, 3.610000e+01, 1.250000e+00, 4.749220e-01
12.7, 26.22, 3.610000e+01, 1.500000e+00, 3.901170e-01
12.7, 26.22, 3.610000e+01, 2.500000e+00, 3.734290e-01
12.7, 26.22, 7.220000e+01, 2.500000e-01, 1.669530e-01
12.7, 26.22, 7.220000e+01, 5.000000e-01, 3.673390e-01
12.7, 26.22, 7.220000e+01, 6.250000e-01, 5.040020e-01
12.7, 26.22, 7.220000e+01, 7.500000e-01, 6.643490e-01
12.7, 26.22, 7.220000e+01, 8.750000e-01, 8.775190e-01
12.7, 26.22, 7.220000e+01, 000001, 8.970740e-01
12.7, 26.22, 7.220000e+01, 1.125000e+00, 5.686320e-01
12.7, 26.22, 7.220000e+01, 1.250000e+00, 5.068170e-01
12.7, 26.22, 7.220000e+01, 1.500000e+00, 3.956440e-01
12.7, 26.22, 7.220000e+01, 2.500000e+00, 3.726130e-01
